T,p,density/kgm3
278.15,100000,818.1
278.15,1000000,818.59
278.15,5000000,820.71
278.15,10000000,823.31
278.15,15000000,825.81
278.15,20000000,828.24
278.15,25000000,830.59
278.15,30000000,832.87
278.15,35000000,835.07
278.15,40000000,837.21
278.15,45000000,839.31
283.15,100000,814.75
283.15,1000000,815.25
283.15,5000000,817.45
283.15,10000000,820.16
283.15,15000000,822.72
283.15,20000000,825.21
283.15,25000000,827.62
283.15,30000000,829.9399
283.15,35000000,832.23
283.15,40000000,834.41
283.15,45000000,836.54
293.15,100000,808.27
293.15,1000000,808.81
293.15,5000000,811.1
293.15,10000000,813.88
293.15,15000000,816.58
293.15,20000000,819.1801
293.15,25000000,821.67
293.15,30000000,824.14
293.15,35000000,826.49
293.15,40000000,828.81
293.15,45000000,831.04
303.15,100000,801.88
303.15,1000000,802.43
303.15,5000000,804.87
303.15,10000000,807.78
303.15,15000000,810.59
303.15,20000000,813.29
303.15,25000000,815.92
303.15,30000000,818.45
303.15,35000000,820.92
303.15,40000000,823.29
303.15,45000000,825.61
313.15,100000,795.53
313.15,1000000,796.12
313.15,5000000,798.64
313.15,10000000,801.68
313.15,15000000,804.61
313.15,20000000,807.43
313.15,25000000,810.216
313.15,30000000,812.78
313.15,35000000,815.35
313.15,40000000,817.81
313.15,45000000,820.22
323.15,100000,789.0599
323.15,1000000,789.69
323.15,5000000,792.34
323.15,10000000,795.54
323.15,15000000,798.63
323.15,20000000,801.58
323.15,25000000,804.45
323.15,30000000,807.17
323.15,35000000,809.84
323.15,40000000,812.42
323.15,45000000,814.91
333.15,100000,782.73
333.15,1000000,783.37
333.15,5000000,786.19
333.15,10000000,789.56
333.15,15000000,792.76
333.15,20000000,795.83
333.15,25000000,798.79
333.15,30000000,801.62
333.15,35000000,804.39
333.15,40000000,807.03
333.15,45000000,809.62
343.15,100000,776.31
343.15,1000000,777
343.15,5000000,779.93
343.15,10000000,783.45
343.15,15000000,786.81
343.15,20000000,790.03
343.15,25000000,793.12
343.15,30000000,796.08
343.15,35000000,798.94
343.15,40000000,801.71
343.15,45000000,804.4
353.15,100000,770.03
353.15,1000000,770.73
353.15,5000000,773.84
353.15,10000000,777.5
353.15,15000000,781.02
353.15,20000000,784.36
353.15,25000000,787.57
353.15,30000000,790.66
353.15,35000000,793.62
353.15,40000000,796.47
353.15,45000000,799.24
