p/Pa,T/K,x/decane,viscosity/Pa·s
101325,293.15,0,0.001863
101325,293.15,0.0987,0.00175
101325,293.15,0.199,0.00164
101325,293.15,0.2995,0.001532
101325,293.15,0.3997,0.001433
101325,293.15,0.4986,0.001338
101325,293.15,0.5974,0.001247
101325,293.15,0.7015,0.001155
101325,293.15,0.7973,0.001075
101325,293.15,0.9014,0.000992
101325,293.15,1,0.000918
101325,298.15,0,0.001688
101325,298.15,0.0939,0.001594
101325,298.15,0.1985,0.001493
101325,298.15,0.2931,0.001405
101325,298.15,0.3988,0.001311
101325,298.15,0.5031,0.001222
101325,298.15,0.5995,0.001144
101325,298.15,0.7013,0.001067
101325,298.15,0.8001,0.0009901
101325,298.15,0.9011,0.0009179
101325,298.15,1,0.0008505
