p/Pa,T/K,x/octane,viscosity/Pa·s
101325,293.15,0,0.002841
101325,293.15,0.1032,0.002488
101325,293.15,0.2005,0.002185
101325,293.15,0.2833,0.001948
101325,293.15,0.3826,0.001683
101325,293.15,0.5038,0.001385
101325,293.15,0.6008,0.001187
101325,293.15,0.715,0.0009631
101325,293.15,0.7994,0.0008279
101325,293.15,0.8985,0.0006782
101325,293.15,1,0.0005433
101325,298.15,0,0.002534
101325,298.15,0.1114,0.002211
101325,298.15,0.1978,0.001978
101325,298.15,0.2962,0.001732
101325,298.15,0.3951,0.001506
101325,298.15,0.4927,0.0013
101325,298.15,0.5978,0.0011
101325,298.15,0.7035,0.0009185
101325,298.15,0.8008,0.0007686
101325,298.15,0.9026,0.0006291
101325,298.15,1,0.0005104
