p/Pa,T/K,x/undecane,viscosity/Pa·s
101325,293.15,0,0.002841
101325,293.15,0.1013,0.002626
101325,293.15,0.2015,0.002428
101325,293.15,0.3004,0.002242
101325,293.15,0.4036,0.00206
101325,293.15,0.5046,0.001896
101325,293.15,0.601,0.001731
101325,293.15,0.7004,0.001579
101325,293.15,0.8,0.001435
101325,293.15,0.8974,0.001304
101325,293.15,1,0.001174
101325,298.15,0,0.002534
101325,298.15,0.1026,0.002351
101325,298.15,0.2004,0.002183
101325,298.15,0.2994,0.002021
101325,298.15,0.3983,0.001866
101325,298.15,0.5079,0.001705
101325,298.15,0.5973,0.001578
101325,298.15,0.7022,0.001445
101325,298.15,0.7975,0.00132
101325,298.15,0.9019,0.001192
101325,298.15,1,0.001081
