Temperature (K),Viscosity (Pa*s)
250,0.00051062
251,0.00050408
252,0.00049767
253,0.00049139
254,0.00048523
255,0.00047918
256,0.00047326
257,0.00046745
258,0.00046174
259,0.00045615
260,0.00045066
261,0.00044527
262,0.00043997
263,0.00043478
264,0.00042968
265,0.00042466
266,0.00041974
267,0.00041491
268,0.00041016
269,0.00040549
270,0.0004009
271,0.00039639
272,0.00039195
273,0.00038759
274,0.00038331
275,0.00037909
276,0.00037494
277,0.00037087
278,0.00036685
279,0.0003629
280,0.00035902
281,0.0003552
282,0.00035143
283,0.00034773
284,0.00034408
285,0.00034049
286,0.00033695
287,0.00033347
288,0.00033004
289,0.00032666
290,0.00032333
291,0.00032006
292,0.00031683
293,0.00031364
294,0.00031051
295,0.00030741
296,0.00030437
297,0.00030136
298,0.0002984
299,0.00029548
300,0.0002926
301,0.00028976
302,0.00028696
303,0.0002842
304,0.00028147
305,0.00027878
306,0.00027613
307,0.00027351
308,0.00027093
309,0.00026838
310,0.00026587
311,0.00026339
312,0.00026094
313,0.00025852
314,0.00025613
315,0.00025377
316,0.00025145
317,0.00024915
318,0.00024688
319,0.00024464
320,0.00024242
321,0.00024024
322,0.00023808
323,0.00023594
324,0.00023383
325,0.00023175
326,0.00022969
327,0.00022766
328,0.00022565
329,0.00022366
330,0.00022169
331,0.00021975
332,0.00021783
333,0.00021593
334,0.00021406
335,0.0002122
336,0.00021037
337,0.00020855
338,0.00020676
339,0.00020499
340,0.00020323
341,0.00020149
341.45,0.00020072
341.45,7.11E-06
342,7.12E-06
343,7.15E-06
344,7.17E-06
345,7.19E-06
346,7.21E-06
347,7.23E-06
348,7.26E-06
349,7.28E-06
350,7.30E-06
351,7.32E-06
352,7.34E-06
353,7.37E-06
354,7.39E-06
355,7.41E-06
356,7.43E-06
357,7.45E-06
358,7.47E-06
359,7.50E-06
360,7.52E-06
361,7.54E-06
362,7.56E-06
363,7.58E-06
364,7.60E-06
365,7.63E-06
366,7.65E-06
367,7.67E-06
368,7.69E-06
369,7.71E-06
370,7.73E-06
371,7.76E-06
372,7.78E-06
373,7.80E-06
374,7.82E-06
375,7.84E-06
376,7.86E-06
377,7.89E-06
378,7.91E-06
379,7.93E-06
380,7.95E-06
381,7.97E-06
382,7.99E-06
383,8.01E-06
384,8.04E-06
385,8.06E-06
386,8.08E-06
387,8.10E-06
388,8.12E-06
389,8.14E-06
390,8.16E-06
391,8.19E-06
392,8.21E-06
393,8.23E-06
394,8.25E-06
395,8.27E-06
396,8.29E-06
397,8.31E-06
398,8.33E-06
399,8.36E-06
400,8.38E-06
401,8.40E-06
402,8.42E-06
403,8.44E-06
404,8.46E-06
405,8.48E-06
406,8.50E-06
407,8.52E-06
408,8.55E-06
409,8.57E-06
410,8.59E-06
411,8.61E-06
412,8.63E-06
413,8.65E-06
414,8.67E-06
415,8.69E-06
416,8.71E-06
417,8.73E-06
418,8.76E-06
419,8.78E-06
420,8.80E-06
421,8.82E-06
422,8.84E-06
423,8.86E-06
424,8.88E-06
425,8.90E-06
426,8.92E-06
427,8.94E-06
428,8.97E-06
429,8.99E-06
430,9.01E-06
431,9.03E-06
432,9.05E-06
433,9.07E-06
434,9.09E-06
435,9.11E-06
436,9.13E-06
437,9.15E-06
438,9.17E-06
439,9.19E-06
440,9.21E-06
441,9.24E-06
442,9.26E-06
443,9.28E-06
444,9.30E-06
445,9.32E-06
446,9.34E-06
447,9.36E-06
448,9.38E-06
449,9.40E-06
450,9.42E-06
451,9.44E-06
452,9.46E-06
453,9.48E-06
454,9.50E-06
455,9.53E-06
456,9.55E-06
457,9.57E-06
458,9.59E-06
459,9.61E-06
460,9.63E-06
461,9.65E-06
462,9.67E-06
463,9.69E-06
464,9.71E-06
465,9.73E-06
466,9.75E-06
467,9.77E-06
468,9.79E-06
469,9.81E-06
470,9.83E-06
471,9.85E-06
472,9.87E-06
473,9.90E-06
474,9.92E-06
475,9.94E-06
476,9.96E-06
477,9.98E-06
478,1.00E-05
479,1.00E-05
480,1.00E-05
481,1.01E-05
482,1.01E-05
483,1.01E-05
484,1.01E-05
485,1.01E-05
486,1.02E-05
487,1.02E-05
488,1.02E-05
489,1.02E-05
490,1.02E-05
491,1.03E-05
492,1.03E-05
493,1.03E-05
494,1.03E-05
495,1.03E-05
496,1.04E-05
497,1.04E-05
498,1.04E-05
499,1.04E-05
500,1.04E-05
