p,T,visc
100000,298.15,0.003299
20000000,298.15,0.004674
40000000,298.15,0.009354
60000000,298.15,0.009534
80000000,298.15,0.00954
100000000,298.15,0.01811
100000,313.15,0.002383
20000000,313.15,0.003356
40000000,313.15,0.006376
60000000,313.15,0.006527
80000000,313.15,0.006534
100000000,313.15,0.01208
100000,333.15,0.001658
20000000,333.15,0.002287
40000000,333.15,0.004527
60000000,333.15,0.004517
80000000,333.15,0.004573
100000000,333.15,0.007218
100000,353.15,0.001243
20000000,353.15,0.001709
40000000,353.15,0.003289
60000000,353.15,0.003283
80000000,353.15,0.003285
100000000,353.15,0.004781
100000,363.15,0.001092
20000000,363.15,0.001482
40000000,363.15,0.002528
60000000,363.15,0.002529
80000000,363.15,0.00253
100000000,363.15,0.004274
