p,T,Viscosity
6700000,325.8,0.003184
6700000,325.8,0.003193
14400000,325.8,0.003511
14400000,325.8,0.003528
21300000,325.8,0.003828
22300000,325.8,0.003908
28700000,325.8,0.00425
35500000,325.8,0.004642
5500000,429.3,0.000837
7400000,429.3,0.000858
21800000,429.3,0.001029
41800000,429.3,0.001262
63000000,429.3,0.001498
63000000,429.3,0.001523
83000000,429.3,0.001777
103700000,429.3,0.002043
6200000,533.8,0.000346
22900000,533.8,0.000425
43300000,533.8,0.000541
43500000,533.8,0.000541
63200000,533.8,0.000647
84300000,533.8,0.00075
104400000,533.8,0.000861
125000000,533.8,0.000977
125000000,429.3,0.002351
144500000,429.3,0.002631
144700000,429.3,0.002638
167900000,429.3,0.002988
187900000,429.3,0.003321
146100000,533.8,0.001097
165900000,533.8,0.001199
187300000,533.8,0.001341
208200000,533.8,0.001444
228800000,533.8,0.001556
208900000,429.3,0.003685
228600000,429.3,0.00404
243100000,429.3,0.004327
98000,350.45,0.002036
98000,402.05,0.001004
98000,457.25,0.000567
98000,499.95,0.000395
9800000,350.45,0.00237
9800000,402.05,0.001142
9800000,457.25,0.000643
9800000,499.95,0.000466
19600000,350.45,0.00266
19600000,402.05,0.00128
19600000,457.25,0.000725
19600000,499.95,0.000535
29400000,350.45,0.003
29400000,402.05,0.001425
29400000,457.25,0.000813
29400000,499.95,0.000608
39200000,350.45,0.003265
39200000,402.05,0.001556
39200000,457.25,0.000905
39200000,499.95,0.00067
49000000,350.45,0.003498
49000000,402.05,0.00169
49000000,457.25,0.001003
49000000,499.95,0.000728
