Pressure (Pa),Temperature (K),Viscosity (Pa*s)
100000,280,0.0014336
100000,281,0.0013909
100000,282,0.0013503
100000,283,0.0013116
100000,284,0.0012746
100000,285,0.0012392
100000,286,0.0012054
100000,287,0.0011731
100000,288,0.0011421
100000,289,0.0011124
100000,290,0.001084
100000,291,0.0010567
100000,292,0.0010305
100000,293,0.0010053
100000,294,0.00098109
100000,295,0.00095781
100000,296,0.00093541
100000,297,0.00091385
100000,298,0.00089307
100000,299,0.00087305
100000,300,0.00085374
100000,301,0.00083512
100000,302,0.00081714
100000,303,0.00079977
100000,304,0.000783
100000,305,0.00076679
100000,306,0.00075112
100000,307,0.00073596
100000,308,0.00072129
100000,309,0.00070708
100000,310,0.00069333
100000,311,0.00068
100000,312,0.00066709
100000,313,0.00065457
100000,314,0.00064243
100000,315,0.00063066
100000,316,0.00061923
100000,317,0.00060813
100000,318,0.00059736
100000,319,0.00058689
100000,320,0.00057673
100000,321,0.00056684
100000,322,0.00055724
100000,323,0.0005479
100000,324,0.00053881
100000,325,0.00052997
100000,326,0.00052136
100000,327,0.00051299
100000,328,0.00050483
100000,329,0.00049689
100000,330,0.00048915
100000,331,0.00048161
100000,332,0.00047426
100000,333,0.00046709
100000,334,0.00046011
100000,335,0.0004533
100000,336,0.00044665
100000,337,0.00044017
100000,338,0.00043384
100000,339,0.00042766
100000,340,0.00042163
100000,341,0.00041575
100000,342,0.00041
100000,343,0.00040438
100000,344,0.00039889
100000,345,0.00039353
100000,346,0.00038829
100000,347,0.00038317
100000,348,0.00037816
100000,349,0.00037326
100000,350,0.00036847
100000,351,0.00036378
100000,352,0.0003592
100000,353,0.00035471
100000,354,0.00035033
100000,355,0.00034603
100000,356,0.00034182
100000,357,0.00033771
100000,358,0.00033367
100000,359,0.00032972
100000,360,0.00032586
100000,361,0.00032207
100000,362,0.00031835
100000,363,0.00031471
100000,364,0.00031115
100000,365,0.00030765
100000,366,0.00030423
100000,367,0.00030087
100000,368,0.00029757
100000,369,0.00029434
100000,370,0.00029117
100000,371,0.00028807
100000,372,0.00028502
100000,372.76,0.00028275
100000,372.76,1.22E-05
100000,373,1.22E-05
100000,374,1.23E-05
100000,375,1.23E-05
100000,376,1.23E-05
100000,377,1.24E-05
100000,378,1.24E-05
100000,379,1.25E-05
100000,380,1.25E-05
100000,381,1.25E-05
100000,382,1.26E-05
100000,383,1.26E-05
100000,384,1.27E-05
100000,385,1.27E-05
100000,386,1.27E-05
100000,387,1.28E-05
100000,388,1.28E-05
100000,389,1.28E-05
100000,390,1.29E-05
100000,391,1.29E-05
100000,392,1.30E-05
100000,393,1.30E-05
100000,394,1.30E-05
100000,395,1.31E-05
100000,396,1.31E-05
100000,397,1.32E-05
100000,398,1.32E-05
100000,399,1.32E-05
100000,400,1.33E-05
100000,401,1.33E-05
100000,402,1.34E-05
100000,403,1.34E-05
100000,404,1.34E-05
100000,405,1.35E-05
100000,406,1.35E-05
100000,407,1.36E-05
100000,408,1.36E-05
100000,409,1.36E-05
100000,410,1.37E-05
100000,411,1.37E-05
100000,412,1.38E-05
100000,413,1.38E-05
100000,414,1.38E-05
100000,415,1.39E-05
100000,416,1.39E-05
100000,417,1.39E-05
100000,418,1.40E-05
100000,419,1.40E-05
100000,420,1.41E-05
100000,421,1.41E-05
100000,422,1.41E-05
100000,423,1.42E-05
100000,424,1.42E-05
100000,425,1.43E-05
100000,426,1.43E-05
100000,427,1.43E-05
100000,428,1.44E-05
100000,429,1.44E-05
100000,430,1.45E-05
100000,431,1.45E-05
100000,432,1.45E-05
100000,433,1.46E-05
100000,434,1.46E-05
100000,435,1.47E-05
100000,436,1.47E-05
100000,437,1.47E-05
100000,438,1.48E-05
100000,439,1.48E-05
100000,440,1.49E-05
100000,441,1.49E-05
100000,442,1.49E-05
100000,443,1.50E-05
100000,444,1.50E-05
100000,445,1.51E-05
100000,446,1.51E-05
100000,447,1.51E-05
100000,448,1.52E-05
100000,449,1.52E-05
100000,450,1.53E-05
